City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
286,mabaruma,GY,74.25,8.2,-59.78,
287,daru,PG,81.28,-9.08,143.21,New century hotel
289,morondava,MG,73.38,-20.28,44.28,La Case Bambou
290,ilebo,CD,67.33,-4.32,20.58,Hôtel des palmes
295,mayor pablo lagerenza,PY,79.39,-19.93,-60.77,
296,kampene,CD,68.18,-3.6,26.67,
297,sao joao da barra,BR,68.95,-21.64,-41.05,Pousada Porto De Canoas
299,sabha,LY,74.37,27.04,14.43,محطة ام الارانب -سبها مواصلات
300,merauke,ID,82.9,-8.47,140.33,
301,rincon,US,75.2,32.3,-81.24,Bent tree subdivision
304,aripuana,BR,72.64,-9.17,-60.63,
305,dakar,SN,78.8,14.69,-17.44,Novotel Dakar
307,kushima,JP,84.2,31.46,131.23,Hanaoka
308,halden,NO,63.0,59.12,11.39,Park Hotel Halden
309,touros,BR,73.4,-5.2,-35.46,INN NEW HORIZON
310,markova,UA,60.8,48.68,24.41,Kempinh
311,kieta,PG,85.06,-6.22,155.63,
314,virginia beach,US,78.01,36.85,-75.98,Hilton Virginia Beach Oceanfront
316,vanavara,RU,82.18,60.34,102.28,Church of Churches
318,esperance,AU,62.6,-33.87,121.9,Hospitality Esperance
319,almeria,ES,71.6,37.17,-2.33,
322,abu kamal,SY,81.25,34.45,40.92,
323,alcudia,ES,66.2,39.85,3.12,Zafiro Tropic
326,coralville,US,63.0,41.68,-91.58,Heartland Inn
327,verkhnevilyuysk,RU,80.98,63.45,120.32,Gostinitsa Mila
329,lasa,IT,63.0,46.62,10.7,Pension Feldgärtenhof
330,upata,VE,78.01,8.01,-62.4,Posada Villa Nela
332,kupang,ID,89.6,-10.17,123.58,Sylvia Hotel Premier Kupang
334,dauriya,RU,70.7,49.93,116.87,
335,porto walter,BR,70.83,-8.27,-72.74,Hotel Silva
337,orange cove,US,84.2,36.62,-119.31,
338,barcelos,PT,62.01,41.54,-8.62,Hotel Do Terço
339,ust-kuyga,RU,83.62,70.02,135.6,
340,gereykhanovskoye,RU,82.85,41.7,48.28,
343,aykhal,RU,77.0,66.0,111.5,
344,charters towers,AU,71.89,-20.1,146.27,Cattleman's Rest Motor Inn
346,takoradi,GH,76.78,4.88,-1.76,Raybow International Hotel
347,buala,SB,85.39,-8.14,159.59,Maringe Lagoon Lodge
350,nelson bay,AU,62.6,-32.72,152.15,Mantra Nelson Bay
351,shiraz,IR,84.2,29.6,52.54,Shams Hotel
352,narowal,PK,84.2,32.1,74.88,Chota rany wall
355,diffa,NE,83.95,13.32,12.61,ProDAF/Diffa
356,diamantino,BR,67.46,-14.41,-56.45,Hotel Delta
358,yanam,IN,89.6,16.73,82.22,The Regency Hotel
359,sept-iles,CA,61.0,50.2,-66.38,Comfort Inn
360,chapais,CA,64.4,49.78,-74.85,Hôtel Opémiska
361,vilyuysk,RU,80.82,63.76,121.62,Gostinitsa Viliuisk
362,alofi,NU,78.8,-19.06,-169.92,Taloa Heights
363,singapore,SG,80.6,1.29,103.85,Hotel Swissôtel The Stamford
364,ngama,TD,85.62,11.78,17.17,
365,teahupoo,PF,80.6,-17.83,-149.27,Vanira Lodge
366,tashtyp,RU,74.64,52.79,89.9,
369,laives,IT,60.8,46.42,11.33,Hotel Steinmannwald
370,oranjestad,AW,82.4,12.52,-70.03,Divi Village Golf & Beach Resort
371,samtredia,GE,78.8,42.15,42.34,Temuri's Apartment
372,mandalgovi,MN,65.59,45.76,106.27,В.Ганбат
373,avera,US,73.4,33.19,-82.53,
375,bida,NG,73.72,9.08,6.02,Royal Suite
377,saint-pierre,RE,73.4,-21.34,55.48,Lindsey Hôtel
378,pitimbu,BR,75.92,-7.47,-34.81,Reserva do Abiaí
379,casablanca,MA,68.0,33.59,-7.62,Hotel Moroccan House Casablanca
380,la ronge,CA,71.6,55.1,-105.28,Northland Motor Hotel
381,wad madani,SD,85.48,14.4,33.52,فندق يوغسلافيا
385,pombas,CV,75.2,17.15,-25.02,POUSADA O RECANTO
386,abha,SA,69.8,18.22,42.51,Abha Hotel
389,baiyin,CN,80.6,36.56,104.21,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
391,bintulu,MY,82.4,3.17,113.03,900 Boutique INN
394,kailua,US,80.6,21.4,-157.74,Sheffield House Bed & Breakfast
395,maryborough,AU,68.0,-25.53,152.7,Blue Shades Motel
399,olinda,BR,78.8,-8.01,-34.86,Hotel 5 Sóis
